日期,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量（kg）,成交金额（元）,市场持仓（手）,交收方向,交收量（手）
2026-05-29,Ag(T+D),17734.00,18534.00,17689.00,18180.00,419,2.36%,18258.00,330140,6027983360,2819796,空支付给多,19920
2026-05-28,Ag(T+D),17934.00,18219.00,17421.00,17822.00,-676,-3.65%,17761.00,438514,7788630214,2826488,空支付给多,26340
2026-05-27,Ag(T+D),18554.00,18862.00,18094.00,18222.00,-444,-2.38%,18498.00,437630,8095703632,2830674,空支付给多,37110
2026-05-26,Ag(T+D),19024.00,19160.00,18443.00,18600.00,-280,-1.48%,18666.00,356582,6656314216,2840124,空支付给多,48690
2026-05-25,Ag(T+D),18555.00,19240.00,18342.00,18929.00,305,1.64%,18880.00,377500,7127535186,2814330,多支付给空,840
2026-05-22,Ag(T+D),18366.00,18850.00,18119.00,18623.00,139,0.75%,18624.00,421934,7858420248,2753274,空支付给多,45870
2026-05-21,Ag(T+D),18510.00,18820.00,18170.00,18321.00,214,1.18%,18484.00,338186,6251249928,2784846,空支付给多,41160
2026-05-20,Ag(T+D),18510.00,18645.00,17821.00,18380.00,-348,-1.86%,18107.00,604242,10941520694,2792806,多支付给空,210
2026-05-19,Ag(T+D),18687.00,19122.00,18451.00,18542.00,132,0.72%,18728.00,684448,12818589940,2751056,空支付给多,54300
2026-05-18,Ag(T+D),19250.00,19309.00,18109.00,18601.00,-1199,-6.06%,18410.00,646982,11910950042,2746712,空支付给多,63690
2026-05-15,Ag(T+D),21300.00,21345.00,19068.00,19428.00,-2012,-9.38%,19800.00,475602,9417173788,2803072,空支付给多,18750
2026-05-14,Ag(T+D),21369.00,22038.00,21101.00,21400.00,-218,-1.01%,21440.00,564400,12100962160,2785600,多支付给空,58260
2026-05-13,Ag(T+D),20700.00,23400.00,20512.00,21265.00,295,1.41%,21618.00,766094,16561939590,2806016,空支付给多,7320
2026-05-12,Ag(T+D),20033.00,21423.00,19997.00,20749.00,872,4.39%,20970.00,626580,13140007408,2666670,空支付给多,32130
2026-05-11,Ag(T+D),19900.00,20085.00,19550.00,19895.00,77,0.39%,19877.00,518478,10306221890,2663478,空支付给多,53640
2026-05-08,Ag(T+D),19875.00,20131.00,19513.00,19692.00,413,2.14%,19818.00,532908,10561250538,2701386,空支付给多,83190
2026-05-07,Ag(T+D),19010.00,19588.00,18894.00,19538.00,869,4.65%,19279.00,397146,7656590632,2719416,多支付给空,660
2026-05-06,Ag(T+D),18409.00,18858.00,18341.00,18837.00,922,5.15%,18669.00,274812,5130623268,2730760,空支付给多,12030
