Database_Name,SpecialNotice,Top_Picks,Data_Finder,One_Screen,Multi-_Screen,Tables,Text_Files
Monthly,,,,,,,
"Employment, Hours, and Earnings - National
(Current Employment Statistics - CES)",,,,,,,
"Employment, Hours, and Earnings - State and Metro Area
(Current Employment Statistics - CES)",,,,,,,
Labor Force Statistics
(Current Population Survey - CPS),,,,,,,
Job Openings and Labor Turnover Survey (JOLTS),,,,,,,
Quarterly,,,,,,,
State and County Employment and Wages
(Quarterly Census of Employment & Wages - QCEW),,,,,,,
Business Employment Dynamics (BDM),,,,,,,
Annual & Other,,,,,,,
Occupational Employment and Wage Statistics (OEWS),,,,,,,
Occupational Employment and Wage Statistics (OEWS) Profiles,,,,,,,
American Time Use Survey (ATUS),,,,,,,
Union Affiliation Data
(Current Population Survey - CPS),,,,,,,
Marital and family labor force statistics
(Current Population Survey - CPS),,,,,,,
Veterans supplement data
(Current Population Survey - CPS supplement),,,,,,,
Employment Projections,,,,,,,
National Longitudinal Surveys (NLS)
(National Longitudinal Survey of Youth 1979 – NLSY79)
(National Longitudinal Survey of Youth 1997 – NLSY97),,,,,,,
