Database_Name,SpecialNotice,Top_Picks,Tables
"Regional Top-Picks, Tables, and Text Files",,,
"Northeast Information Office
(Boston, MA-New York, NY)",,,
"Mid-Atlantic Information Office
(Philadelphia, PA)",,,
"Southeast Information Office
(Atlanta, GA)",,,
"Midwest Information office
(Chicago, IL)",,,
"Southwest Information Office
(Dallas, TX)",,,
"Mountain-Plains Information Office
(Kansas City, MO)",,,
"Western Information Office
(San Francisco, CA)",,,
