Database_Name,SpecialNotice,Top_Picks,Data_Finder,One_Screen,Multi-_Screen,Tables,Text_Files
Prices - Consumer,,,,,,,
All Urban Consumers (Current Series)
(Consumer Price Index - CPI),,,,,,,
Urban Wage Earners and Clerical Workers (Current Series)
(Consumer Price Index - CPI),,,,,,,
All Urban Consumers (Chained CPI)
(Consumer Price Index - CPI),,,,,,,
Average Price Data
(Consumer Price Index - CPI),,,,,,,
Prices - Producer,,,,,,,
Industry Data
(Producer Price Index - PPI),,,,,,,
"Commodity Data including ""headline"" FD-ID indexes
(Producer Price Index - PPI)",,,,,,,
Prices - International,,,,,,,
Import/Export Price Indexes
(International Price Program - IPP),,,,,,,
