Table_Name,News_Release_Tables
Historical 'A' Tables (Household data): Previous years and months,
Employment Situation News Release (monthly)
Current Population Survey (CPS),
Historical 'B' Tables (Establishment data): Previous years and months,
Employment Situation News Release (monthly)
Current Employment Statistics (CES),
Weekly Earnings Tables: Previous quarters,
Usual Weekly Earnings of Wage and Salary Workers News Release (quarterly)
Current Population Survey (CPS),
Union Affiliation Tables: Previous years,
Union Members News Release (annual)
Current Population Survey (CPS),
Access to Historical Data Series by Subject: Previous years and months,
"Browse labor force, employment, unemployment, and other data by subject
Current Population Survey (CPS)",
American Time Use Survey (ATUS) Historical News Release Tables,
American Time Use Survey (ATUS) Results,
Historical 'A-1' Tables,
"Time spent in detailed primary activities, and percent of the civilian population engaging in each activity, averages per day
American Time Use Survey (ATUS)",
Historical 'A-2' Tables,
"Time spent in detailed primary activities, and percent of the civilian population engaging in each activity, averages per day on weekdays and weekend days
American Time Use Survey (ATUS)",
