Database_Name,SpecialNotice,Top_Picks,Data_Finder,One_Screen,Multi-_Screen,Tables,Text_Files
Rates & Levels,,,,,,,
Labor Force Statistics including the National Unemployment Rate
(Current Population Survey - CPS),,,,,,,
Local Area Unemployment Statistics (LAUS),,,,,,,
