asset_id,content_state,extraction_state,table_files,table_rows,paragraph_count,narrative_output,failure_reason
WEB-0257,NARRATIVE_CONTENT,EXTRACTED,0,0,7,02_提取正文/WEB-0257/content.json,
WEB-0258,NARRATIVE_CONTENT,EXTRACTED,0,0,12,02_提取正文/WEB-0258/content.json,
WEB-0259,NARRATIVE_CONTENT,EXTRACTED,0,0,18,02_提取正文/WEB-0259/content.json,
WEB-0260,NARRATIVE_CONTENT,EXTRACTED,0,0,8,02_提取正文/WEB-0260/content.json,
WEB-0261,NARRATIVE_CONTENT,EXTRACTED,0,0,12,02_提取正文/WEB-0261/content.json,
WEB-0262,NARRATIVE_CONTENT,EXTRACTED,0,0,9,02_提取正文/WEB-0262/content.json,
WEB-0263,NARRATIVE_CONTENT,EXTRACTED,0,0,10,02_提取正文/WEB-0263/content.json,
WEB-0264,MIXED_CONTENT,EXTRACTED,30,401,170,02_提取正文/WEB-0264/content.json,
WEB-0265,MIXED_CONTENT,EXTRACTED,1,28,17,02_提取正文/WEB-0265/content.json,
WEB-0266,MIXED_CONTENT,EXTRACTED,1,5375,6,02_提取正文/WEB-0266/content.json,
WEB-0269,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0270,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0271,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0274,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0289,NARRATIVE_CONTENT,EXTRACTED,0,0,79,02_提取正文/WEB-0289/content.json,
WEB-0291,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0292,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0298,NARRATIVE_CONTENT,EXTRACTED,0,0,9,02_提取正文/WEB-0298/content.json,
WEB-0299,MIXED_CONTENT,EXTRACTED,1,10,22,02_提取正文/WEB-0299/content.json,
WEB-0300,NARRATIVE_CONTENT,EXTRACTED,0,0,14,02_提取正文/WEB-0300/content.json,
WEB-0301,MIXED_CONTENT,EXTRACTED,1,8,15,02_提取正文/WEB-0301/content.json,
WEB-0303,NARRATIVE_CONTENT,EXTRACTED,0,0,8,02_提取正文/WEB-0303/content.json,
WEB-0309,NARRATIVE_CONTENT,EXTRACTED,0,0,6,02_提取正文/WEB-0309/content.json,
WEB-0310,NARRATIVE_CONTENT,EXTRACTED,0,0,7,02_提取正文/WEB-0310/content.json,
WEB-0318,STRUCTURED_DATA,EXTRACTED,7,43,13,02_提取正文/WEB-0318/content.json,
WEB-0325,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0335,BLOCK_PAGE,FAILED,0,0,0,,BLOCK_PAGE
WEB-0336,BLOCK_PAGE,FAILED,0,0,0,,BLOCK_PAGE
WEB-0344,NARRATIVE_CONTENT,EXTRACTED,0,0,1,02_提取正文/WEB-0344/content.json,
WEB-0345,BLOCK_PAGE,FAILED,0,0,0,,BLOCK_PAGE
WEB-0348,NARRATIVE_CONTENT,EXTRACTED,0,0,7,02_提取正文/WEB-0348/content.json,
WEB-0349,NARRATIVE_CONTENT,EXTRACTED,0,0,1,02_提取正文/WEB-0349/content.json,
WEB-0350,NARRATIVE_CONTENT,EXTRACTED,0,0,1,02_提取正文/WEB-0350/content.json,
WEB-0351,MIXED_CONTENT,EXTRACTED,1,41,1,02_提取正文/WEB-0351/content.json,
WEB-0357,STRUCTURED_DATA,EXTRACTED,1,2,2,02_提取正文/WEB-0357/content.json,
WEB-0358,STRUCTURED_DATA,EXTRACTED,1,2,2,02_提取正文/WEB-0358/content.json,
WEB-0359,LOW_CONTENT,PARTIAL,0,0,0,02_提取正文/WEB-0359/content.json,
WEB-0363,STRUCTURED_DATA,EXTRACTED,1,2,1,02_提取正文/WEB-0363/content.json,
WEB-0364,MIXED_CONTENT,EXTRACTED,1,2,6,02_提取正文/WEB-0364/content.json,
WEB-0367,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0381,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0382,NARRATIVE_CONTENT,EXTRACTED,0,0,2,02_提取正文/WEB-0382/content.json,
WEB-0383,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0385,MIXED_CONTENT,EXTRACTED,391,2499,4069,02_提取正文/WEB-0385/content.json,
WEB-0386,MIXED_CONTENT,EXTRACTED,23,23,254,02_提取正文/WEB-0386/content.json,
WEB-0387,MIXED_CONTENT,EXTRACTED,1,367,1,02_提取正文/WEB-0387/content.json,
WEB-0388,MIXED_CONTENT,EXTRACTED,1,240,1,02_提取正文/WEB-0388/content.json,
WEB-0389,NARRATIVE_CONTENT,EXTRACTED,0,0,3434,02_提取正文/WEB-0389/content.json,
WEB-0390,MIXED_CONTENT,EXTRACTED,42,520,5195,02_提取正文/WEB-0390/content.json,
WEB-0391,MIXED_CONTENT,EXTRACTED,0,0,9,02_提取正文/WEB-0391/content.json,
WEB-0392,STRUCTURED_DATA,EXTRACTED,1,1,3,02_提取正文/WEB-0392/content.json,
WEB-0393,STRUCTURED_DATA,EXTRACTED,1,15,4,02_提取正文/WEB-0393/content.json,
WEB-0394,DOWNLOAD_LANDING,EXTRACTED,0,0,3,02_提取正文/WEB-0394/content.json,
WEB-0395,DOWNLOAD_LANDING,EXTRACTED,0,0,1,02_提取正文/WEB-0395/content.json,
WEB-0396,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0396/content.json,
WEB-0397,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0397/content.json,
WEB-0398,MIXED_CONTENT,EXTRACTED,1,16,3,02_提取正文/WEB-0398/content.json,
WEB-0399,MIXED_CONTENT,EXTRACTED,1,16,3,02_提取正文/WEB-0399/content.json,
WEB-0400,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0400/content.json,
WEB-0401,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0401/content.json,
WEB-0402,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0402/content.json,
WEB-0403,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0403/content.json,
WEB-0404,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0404/content.json,
WEB-0405,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0405/content.json,
WEB-0406,MIXED_CONTENT,EXTRACTED,1,19,3,02_提取正文/WEB-0406/content.json,
WEB-0407,MIXED_CONTENT,EXTRACTED,1,19,3,02_提取正文/WEB-0407/content.json,
WEB-0408,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0408/content.json,
WEB-0409,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0409/content.json,
WEB-0410,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0410/content.json,
WEB-0411,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0411/content.json,
WEB-0412,MIXED_CONTENT,EXTRACTED,1,19,3,02_提取正文/WEB-0412/content.json,
WEB-0413,MIXED_CONTENT,EXTRACTED,1,19,3,02_提取正文/WEB-0413/content.json,
WEB-0414,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0414/content.json,
WEB-0415,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0415/content.json,
WEB-0416,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0416/content.json,
WEB-0417,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0417/content.json,
WEB-0418,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0418/content.json,
WEB-0419,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0419/content.json,
WEB-0420,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0420/content.json,
WEB-0421,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0421/content.json,
WEB-0422,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0422/content.json,
WEB-0423,MIXED_CONTENT,EXTRACTED,1,18,3,02_提取正文/WEB-0423/content.json,
WEB-0424,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0424/content.json,
WEB-0425,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0425/content.json,
WEB-0426,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0426/content.json,
WEB-0427,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0427/content.json,
WEB-0428,MIXED_CONTENT,EXTRACTED,1,19,3,02_提取正文/WEB-0428/content.json,
WEB-0429,MIXED_CONTENT,EXTRACTED,1,19,3,02_提取正文/WEB-0429/content.json,
WEB-0430,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0430/content.json,
WEB-0431,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0431/content.json,
WEB-0432,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0432/content.json,
WEB-0433,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0433/content.json,
WEB-0434,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0434/content.json,
WEB-0435,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0435/content.json,
WEB-0436,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0436/content.json,
WEB-0437,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0437/content.json,
WEB-0438,MIXED_CONTENT,EXTRACTED,1,17,3,02_提取正文/WEB-0438/content.json,
WEB-0439,MIXED_CONTENT,EXTRACTED,1,17,3,02_提取正文/WEB-0439/content.json,
WEB-0440,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0440/content.json,
WEB-0441,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0441/content.json,
WEB-0442,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0442/content.json,
WEB-0443,MIXED_CONTENT,EXTRACTED,1,20,3,02_提取正文/WEB-0443/content.json,
