parent_asset_id,resource_id,source_file,source_extension,source_size_bytes,source_sha256,object_type,object_name,row_count,column_count,output_path,extraction_state,failure_reason
WEB-0048,WEB-0048-R01-E002,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Core CPI, seas. adj..xlsx",.xlsx,258976,6b86c4da2503e5070bd1e3c82739268ad71523d45792b4354a874bcce24e9ab7,xlsx_sheet,monthly,362,87,03_提取表格/WEB-0048/WEB-0048-R01-E002/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E003,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, % y-o-y, median weighted, seas. adj..xlsx",.xlsx,52788,1303d7e339f229c224250f8d599249d592762385446c7ddcc79f691605b2911a,xlsx_sheet,annual,32,13,03_提取表格/WEB-0048/WEB-0048-R01-E003/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E003,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, % y-o-y, median weighted, seas. adj..xlsx",.xlsx,52788,1303d7e339f229c224250f8d599249d592762385446c7ddcc79f691605b2911a,xlsx_sheet,monthly,362,13,03_提取表格/WEB-0048/WEB-0048-R01-E003/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E004,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, % y-o-y, nominal, seas. adj..xlsx",.xlsx,398808,82db14cad82ba1f0c00cf600cbe513ab5831ba3d320f3169d85381342fa0a771,xlsx_sheet,annual,32,109,03_提取表格/WEB-0048/WEB-0048-R01-E004/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E004,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, % y-o-y, nominal, seas. adj..xlsx",.xlsx,398808,82db14cad82ba1f0c00cf600cbe513ab5831ba3d320f3169d85381342fa0a771,xlsx_sheet,monthly,362,109,03_提取表格/WEB-0048/WEB-0048-R01-E004/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E005,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, nominal, not seas. adj..xlsx",.xlsx,532974,0bd49708ba1dbf1cca6c6014592064ee3bca4f8768e0b48fa3166a0b5de741df,xlsx_sheet,annual,32,158,03_提取表格/WEB-0048/WEB-0048-R01-E005/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E005,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, nominal, not seas. adj..xlsx",.xlsx,532974,0bd49708ba1dbf1cca6c6014592064ee3bca4f8768e0b48fa3166a0b5de741df,xlsx_sheet,monthly,362,158,03_提取表格/WEB-0048/WEB-0048-R01-E005/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E006,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, nominal, seas. adj..xlsx",.xlsx,420577,c9deed2d0fcb7539391656a913656b4e1bfaddaa571d537ef73bb16d6a67b4f0,xlsx_sheet,annual,32,121,03_提取表格/WEB-0048/WEB-0048-R01-E006/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E006,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/CPI Price, nominal, seas. adj..xlsx",.xlsx,420577,c9deed2d0fcb7539391656a913656b4e1bfaddaa571d537ef73bb16d6a67b4f0,xlsx_sheet,monthly,362,121,03_提取表格/WEB-0048/WEB-0048-R01-E006/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E007,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exchange rate, new LCU per USD extended backward, period average.xlsx",.xlsx,630347,6c03ab590c8439599791fbc7b94dae2d08c2534dcd5ea76482361463c6883167,xlsx_sheet,annual,32,200,03_提取表格/WEB-0048/WEB-0048-R01-E007/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E007,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exchange rate, new LCU per USD extended backward, period average.xlsx",.xlsx,630347,6c03ab590c8439599791fbc7b94dae2d08c2534dcd5ea76482361463c6883167,xlsx_sheet,monthly,362,200,03_提取表格/WEB-0048/WEB-0048-R01-E007/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E008,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exchange rate, old LCU per USD extended forward, period average.xlsx",.xlsx,621041,6c5c9d760fdb092ded10c4b2d779f4d35ea04ae0605bf7fb39ec11c4a3952383,xlsx_sheet,annual,32,188,03_提取表格/WEB-0048/WEB-0048-R01-E008/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E008,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exchange rate, old LCU per USD extended forward, period average.xlsx",.xlsx,621041,6c5c9d760fdb092ded10c4b2d779f4d35ea04ae0605bf7fb39ec11c4a3952383,xlsx_sheet,monthly,362,188,03_提取表格/WEB-0048/WEB-0048-R01-E008/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E009,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, constant 2010 US$, millions, not seas. adj..xlsx",.xlsx,240644,6364cb22ba7591c9905cd20756df9a6804f5b9a2cc4e735c3d11e4295bd63b02,xlsx_sheet,annual,32,52,03_提取表格/WEB-0048/WEB-0048-R01-E009/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E009,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, constant 2010 US$, millions, not seas. adj..xlsx",.xlsx,240644,6364cb22ba7591c9905cd20756df9a6804f5b9a2cc4e735c3d11e4295bd63b02,xlsx_sheet,monthly,362,52,03_提取表格/WEB-0048/WEB-0048-R01-E009/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E009,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, constant 2010 US$, millions, not seas. adj..xlsx",.xlsx,240644,6364cb22ba7591c9905cd20756df9a6804f5b9a2cc4e735c3d11e4295bd63b02,xlsx_sheet,quarterly,122,52,03_提取表格/WEB-0048/WEB-0048-R01-E009/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E010,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,242252,a9b24e1ac11480c4bf1855a8ec69809b5e7e23da36283405136e90abf2eb94fd,xlsx_sheet,annual,32,52,03_提取表格/WEB-0048/WEB-0048-R01-E010/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E010,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,242252,a9b24e1ac11480c4bf1855a8ec69809b5e7e23da36283405136e90abf2eb94fd,xlsx_sheet,monthly,362,52,03_提取表格/WEB-0048/WEB-0048-R01-E010/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E010,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,242252,a9b24e1ac11480c4bf1855a8ec69809b5e7e23da36283405136e90abf2eb94fd,xlsx_sheet,quarterly,122,52,03_提取表格/WEB-0048/WEB-0048-R01-E010/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E011,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Exports Merchandise, Customs, current US$, millions, not seas. adj..xlsx",.xlsx,612197,68cfd0a75f8b79178eaba3b91c699fb3f41e8b2a0671773c813ea9356efefd73,xlsx_sheet,annual,32,140,03_提取表格/WEB-0048/WEB-0048-R01-E011/annual.csv,EXTRACTED,
