Date,Detail,Data
"June 25, 2026",Full Version (1st Quarter 2026),[PDF 672KB]
"June 25, 2026",Preliminary Figures (1st Quarter 2026),[XLSX 216KB]
"June 25, 2026",Time Series Table (1st Quarter 2026),[XLSX 315KB]
"June 25, 2026",Basic Figures of the Flow of Funds (1st Quarter 2026),[PDF 439KB]
