2011,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
November 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
October 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
September 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
August 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
July 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
June 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
May 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
April 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
March 25,,,HTML | PDF | ASCII,
March 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
February 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
January 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,
