2003,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
November 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,
November 10,,,HTML | PDF | ASCII,
October 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
September 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
August 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
July 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
June 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
May 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
April 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
March 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,
February 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,
January 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
