2000,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 15,HTML | PDF | ASCII,,,
December 5,,,HTML | PDF | ASCII,
November 15,HTML | PDF | ASCII,,,
October 17,HTML | PDF | ASCII,,,
September 15,HTML | PDF | ASCII,,,
August 15,HTML | PDF | ASCII,,,
July 14,HTML | PDF | ASCII,,,
June 15,HTML | PDF | ASCII,,,
May 15,HTML | PDF | ASCII,,,
April 14,HTML | PDF | ASCII,,,
March 15,HTML | PDF | ASCII,,,
February 15,HTML | PDF | ASCII,,,
January 14,HTML | PDF | ASCII,,,
