2009,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
November 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
October 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
September 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
August 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,
July 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
June 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
May 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
April 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
March 27,,,HTML | PDF | ASCII,
March 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
February 18,HTML | PDF | ASCII,HTML | PDF | ASCII,,
January 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
