2018,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
November 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
October 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
September 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
August 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
July 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
June 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
May 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
April 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
March 23,,,HTML | PDF | ASCII,Data and Documentation
March 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
February 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
January 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
