2008,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
November 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
October 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
September 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
August 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
July 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
June 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
May 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
April 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
March 28,,,HTML | PDF | ASCII,
March 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
February 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
January 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
