日期,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量（kg）,成交金额（元）,市场持仓（手）,交收方向,交收量（手）
2025-11-28,Au99.99,942.50,950.90,942.00,948.15,4.17,0.44%,948.21,5676.4,5382430823.2,-,,
2025-11-27,Au99.99,945.80,945.80,940.00,943.98,2.82,0.30%,941.57,3788.12,3566812989.8,-,,
2025-11-26,Au99.99,940.00,945.90,935.00,941.16,-0.38,-0.04%,943.78,5591.84,5277487508,-,,
2025-11-25,Au99.99,930.00,945.00,930.00,941.54,15.54,1.68%,942.61,5636.04,5312635537.2,-,,
2025-11-24,Au99.99,924.00,935.00,923.80,926.00,1.56,0.17%,925.54,6484.96,6002095281.4,-,,
2025-11-21,Au99.99,933.00,938.00,918.00,924.44,-5.51,-0.59%,927.16,5905.54,5475389793.4,-,,
2025-11-20,Au99.99,940.00,942.50,927.00,929.95,-5.38,-0.58%,932.07,5951.7,5547450956.4,-,,
2025-11-19,Au99.99,923.50,937.80,921.05,935.33,18.37,2.00%,932.77,6310.06,5885835317.2,-,,
2025-11-18,Au99.99,935.50,938.00,916.04,916.96,-14.46,-1.55%,919.43,9662.46,8884013918,-,,
2025-11-17,Au99.99,942.00,943.00,921.00,931.42,-16.61,-1.75%,930.81,9930.64,9243600446.6,-,,
2025-11-14,Au99.99,959.55,968.00,948.00,948.03,-11.11,-1.16%,954.73,7413.22,7077691693,-,,
2025-11-13,Au99.99,946.00,960.00,940.10,959.14,14.3,1.51%,957.76,8263.64,7914661211.2,-,,
2025-11-12,Au99.99,949.00,949.00,939.00,944.84,-1.95,-0.21%,944.44,7978.8,7535557357.2,-,,
2025-11-11,Au99.99,938.90,950.99,935.00,946.79,11.98,1.28%,948.34,11202.26,10623625872.6,-,,
2025-11-10,Au99.99,919.00,935.00,914.00,934.81,16.78,1.83%,930.10,8082.38,7517487367.2,-,,
2025-11-07,Au99.99,920.00,924.00,912.00,918.03,0.03,0.00%,916.98,5809.64,5327342836,-,,
2025-11-06,Au99.99,910.00,919.80,910.00,918.00,8,0.88%,914.01,5339.48,4880354659.2,-,,
2025-11-05,Au99.99,912.00,916.50,903.00,910.00,-6.49,-0.71%,907.06,8812.92,7993879122.2,-,,
2025-11-04,Au99.99,918.00,925.00,910.50,916.49,-3.51,-0.38%,913.82,7689.06,7026420871.6,-,,
2025-11-03,Au99.99,924.00,925.00,909.00,920.00,-1.5,-0.16%,917.37,8788.62,8062461334.2,-,,
