日期,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量（kg）,成交金额（元）,市场持仓（手）,交收方向,交收量（手）
2026-03-31,Au99.99,1015.00,1029.99,1008.00,1018.90,10.15,1.01%,1020.33,7108.74,7253284710.4,-,,
2026-03-30,Au99.99,990.00,1015.00,986.00,1008.75,14.85,1.49%,1005.43,11089.54,11149836990,-,,
2026-03-27,Au99.99,988.00,999.50,977.00,993.90,2.54,0.26%,990.16,10391.86,10289638034,-,,
2026-03-26,Au99.99,1015.45,1022.50,982.00,991.36,-24.09,-2.37%,1000.48,13363.36,13369783155.2,-,,
2026-03-25,Au99.99,980.00,1028.99,965.10,1015.45,35.89,3.66%,1017.30,13543.72,13778028880,-,,
2026-03-24,Au99.99,965.00,999.00,953.20,979.56,54.91,5.94%,966.13,18123.16,17509448344.6,-,,
2026-03-23,Au99.99,1040.00,1046.00,911.00,924.65,-116.94,-11.23%,962.54,17189.5,16545614345.2,-,,
2026-03-20,Au99.99,1140.00,1140.00,1007.00,1041.59,-19.41,-1.83%,1043.96,13377.44,13965644146.8,-,,
2026-03-19,Au99.99,1095.00,1181.00,1057.00,1061.00,-50.89,-4.58%,1078.48,9683.54,10443576839.2,-,,
2026-03-18,Au99.99,1115.00,1117.00,1108.00,1111.89,-4.08,-0.37%,1111.39,7440.34,8269170260.8,-,,
2026-03-17,Au99.99,1117.80,1121.00,1109.00,1115.97,1.36,0.12%,1116.30,6053.96,6758089661,-,,
2026-03-16,Au99.99,1138.00,1140.00,1110.01,1114.61,-16.48,-1.46%,1116.28,7972.66,8899772104.6,-,,
2026-03-13,Au99.99,1147.00,1150.80,1129.65,1131.09,-15.36,-1.34%,1135.27,7567.84,8591607665.4,-,,
2026-03-12,Au99.99,1149.00,1152.00,1141.50,1146.45,-3.97,-0.35%,1144.79,6855.94,7848676772.8,-,,
2026-03-11,Au99.99,1148.50,1158.00,1142.50,1150.42,5.64,0.49%,1151.83,5314.24,6121117725.2,-,,
2026-03-10,Au99.99,1139.10,1151.60,1132.10,1144.78,4.4,0.39%,1148.29,6847.34,7862766636.8,-,,
2026-03-09,Au99.99,1135.00,1160.00,1120.00,1140.38,1.05,0.09%,1138.44,8365,9523073459,-,,
2026-03-06,Au99.99,1151.00,1151.00,1132.00,1139.33,-10.28,-0.89%,1140.96,8829.76,10074425128.8,-,,
2026-03-05,Au99.99,1154.00,1158.00,1140.38,1149.61,-3.57,-0.31%,1148.93,11192.04,12858909990.2,-,,
2026-03-04,Au99.99,1149.00,1169.00,1125.00,1153.18,-28.82,-2.44%,1153.11,14920.22,17204738616.4,-,,
