日期,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量（kg）,成交金额（元）,市场持仓（手）,交收方向,交收量（手）
2025-09-30,Au99.99,865.00,880.00,861.00,871.86,8.96,1.04%,872.90,8471.24,7394573848.6,-,,
2025-09-29,Au99.99,853.30,864.99,852.50,862.90,9.9,1.16%,859.03,14795.68,12709938729.2,-,,
2025-09-26,Au99.99,853.00,854.80,847.60,853.00,1.26,0.15%,852.32,9286.48,7915076212.2,-,,
2025-09-25,Au99.99,856.50,857.00,848.00,851.74,-4.89,-0.57%,850.10,10303.38,8758924676.6,-,,
2025-09-24,Au99.99,854.00,856.80,848.75,856.63,5.98,0.70%,854.33,6892.16,5888226695.4,-,,
2025-09-23,Au99.99,843.00,850.88,840.10,850.65,11.15,1.33%,848.85,7739.38,6569637050.8,-,,
2025-09-22,Au99.99,827.00,845.00,827.00,839.50,12.79,1.55%,837.35,7301.9,6114281183.4,-,,
2025-09-19,Au99.99,830.00,830.00,823.00,826.71,2.12,0.26%,825.59,7306.38,6032086829.4,-,,
2025-09-18,Au99.99,832.80,837.00,822.00,824.59,-7.26,-0.87%,827.30,10499.96,8686695383.8,-,,
2025-09-17,Au99.99,838.70,841.00,831.40,831.85,-6.88,-0.82%,833.74,8951.58,7463355218.6,-,,
2025-09-16,Au99.99,829.00,839.99,829.00,838.73,10.52,1.27%,836.71,9667.46,8088864867.6,-,,
2025-09-15,Au99.99,830.20,831.00,826.00,828.21,-2.2,-0.26%,828.61,9527.2,7894413133.2,-,,
2025-09-12,Au99.99,825.00,831.70,824.10,830.41,3.89,0.47%,830.10,9450.58,7844987695,-,,
2025-09-11,Au99.99,830.00,832.80,825.80,826.52,-3.23,-0.39%,828.75,7586.08,6287029486.8,-,,
2025-09-10,Au99.99,832.00,836.00,824.50,829.75,-2.25,-0.27%,828.78,9108.66,7549163637.2,-,,
2025-09-09,Au99.99,823.00,833.99,823.00,832.00,10.8,1.32%,831.02,13667.52,11358065606,-,,
2025-09-08,Au99.99,810.30,822.00,810.30,821.20,9.7,1.20%,817.98,10081.2,8246285707,-,,
2025-09-05,Au99.99,809.19,813.00,809.00,811.50,2.31,0.29%,811.74,9088.06,7377171608.2,-,,
2025-09-04,Au99.99,814.00,817.00,804.00,809.19,0.19,0.02%,809.52,10463.1,8470122577.2,-,,
2025-09-03,Au99.99,800.00,812.99,800.00,809.00,9.05,1.13%,810.44,13097.26,10614619042,-,,
